"txId", "isin", "quantity", "customerId"
"ID00000","ISIN1128","4143","CUS1353"
"ID00001","ISIN1103","4967","CUS1344"
"ID00002","ISIN1141","8122","CUS1055"
"ID00003","ISIN1128","5078","CUS1027"
"ID00004","ISIN1128","6004","CUS1252"
"ID00005","ISIN1126","2609","CUS1350"
"ID00006","ISIN1040","8948","CUS1082"
"ID00007","ISIN1050","8996","CUS1122"
"ID00008","ISIN1059","8919","CUS1418"
"ID00009","ISIN1013","8381","CUS1011"
"ID00010","ISIN1038","8076","CUS1053"
"ID00011","ISIN1032","1096","CUS1041"
"ID00012","ISIN1051","1512","CUS1264"
"ID00013","ISIN1041","7933","CUS1045"
"ID00014","ISIN1006","4300","CUS1036"
"ID00015","ISIN1005","3296","CUS1127"
"ID00016","ISIN1006","2650","CUS1233"
"ID00017","ISIN1108","8199","CUS1153"
"ID00018","ISIN1008","8552","CUS1360"
"ID00019","ISIN1042","6812","CUS1008"
"ID00020","ISIN1111","8243","CUS1426"
"ID00021","ISIN1042","1171","CUS1300"
"ID00022","ISIN1146","1972","CUS1213"
"ID00023","ISIN1084","6038","CUS1277"
"ID00024","ISIN1091","8960","CUS1187"
"ID00025","ISIN1086","3599","CUS1487"
"ID00026","ISIN1093","9624","CUS1109"
"ID00027","ISIN1040","4179","CUS1034"
"ID00028","ISIN1055","1743","CUS1337"
"ID00029","ISIN1056","9782","CUS1470"
"ID00030","ISIN1034","2326","CUS1395"
"ID00031","ISIN1037","4712","CUS1028"
"ID00032","ISIN1076","8738","CUS1452"
"ID00033","ISIN1031","4705","CUS1238"
"ID00034","ISIN1091","3995","CUS1176"
"ID00035","ISIN1052","1517","CUS1282"
"ID00036","ISIN1133","8514","CUS1381"
"ID00037","ISIN1101","9598","CUS1304"
"ID00038","ISIN1111","9805","CUS1119"
"ID00039","ISIN1070","2705","CUS1456"
"ID00040","ISIN1012","6430","CUS1208"
"ID00041","ISIN1098","2690","CUS1329"
"ID00042","ISIN1003","9624","CUS1114"
"ID00043","ISIN1143","6670","CUS1477"
"ID00044","ISIN1063","8396","CUS1042"
"ID00045","ISIN1141","5523","CUS1418"
"ID00046","ISIN1035","5274","CUS1238"
"ID00047","ISIN1044","7710","CUS1369"
"ID00048","ISIN1069","8458","CUS1351"
"ID00049","ISIN1001","2525","CUS1494"
"ID00050","ISIN1027","2481","CUS1323"
"ID00051","ISIN1040","2788","CUS1135"
"ID00052","ISIN1109","4244","CUS1076"
"ID00053","ISIN1106","8832","CUS1060"
"ID00054","ISIN1043","8689","CUS1212"
"ID00055","ISIN1037","5515","CUS1020"
"ID00056","ISIN1035","1640","CUS1466"
"ID00057","ISIN1095","7376","CUS1335"
"ID00058","ISIN1021","4383","CUS1014"
"ID00059","ISIN1078","5301","CUS1009"
"ID00060","ISIN1090","5875","CUS1391"
"ID00061","ISIN1086","8228","CUS1228"
"ID00062","ISIN1113","2118","CUS1292"
"ID00063","ISIN1079","7875","CUS1462"
"ID00064","ISIN1092","3719","CUS1486"
