Role Name, Title, Description
roles/accessapproval.approver,  Access Approval Approver,  Ability to view or act on access approval requests and view configuration
roles/accessapproval.configEditor,  Access Approval Config Editor,  Ability update the Access Approval configuration
roles/accessapproval.viewer,  Access Approval Viewer,  Ability to view access approval requests and configuration
roles/accesscontextmanager.gcpAccessAdmin,  Cloud Access Binding Admin,  Create, edit, and change Cloud access bindings.
roles/accesscontextmanager.gcpAccessReader,  Cloud Access Binding Reader,  Read access to Cloud access bindings.
roles/accesscontextmanager.policyAdmin,  Access Context Manager Admin,  Full access to policies, access levels, and access zones
roles/accesscontextmanager.policyEditor,  Access Context Manager Editor,  Edit access to policies.  Create, edit, and change access levels and access zones.
roles/accesscontextmanager.policyReader,  Access Context Manager Reader,  Read access to policies, access levels, and access zones.
roles/accesscontextmanager.vpcScTroubleshooterViewer, VPC Service Controls Troubleshooter Viewerroles/actions.Admin,  Actions Admin,  Access to edit and deploy an action
roles/actions.Viewer,  Actions Viewer,  Access to view an action
roles/aiplatform.admin,  Vertex AI Administrator,  Grants full access to all resources in Vertex AI
roles/aiplatform.customCodeServiceAgent,  Vertex AI Custom Code Service Agent,  Gives Vertex AI Custom Code the proper permissions.
roles/aiplatform.featurestoreAdmin,  Vertex AI Feature Store Admin,  Grants full access to all resources in Vertex AI Feature Store
roles/aiplatform.featurestoreDataViewer,  Vertex AI Feature Store Data Viewer,  This role provides permissions to read Feature data.
roles/aiplatform.featurestoreDataWriter,  Vertex AI Feature Store Data Writer,  This role provides permissions to read and write Feature data.
roles/aiplatform.featurestoreInstanceCreator,  Vertex AI Feature Store Instance Creator,  Administer of Featurestore resources, but not the child resources under Featurestores.
roles/aiplatform.featurestoreResourceEditor,  Vertex AI Feature Store Resource Editor,  Manage all resources within Featurestores, but cannot create or update the Featurestores.
roles/aiplatform.featurestoreResourceViewer,  Vertex AI Feature Store Resource Viewer,  Viewer of all resources in Vertex AI Feature Store but cannot make changes.
roles/aiplatform.featurestoreUser,  Vertex AI Feature Store User,  Deprecated. Use featurestoreAdmin instead.
roles/aiplatform.migrator,  Vertex AI Migration Service User,  Grants access to use migration service in Vertex AI
roles/aiplatform.serviceAgent,  Vertex AI Service Agent,  Gives Vertex AI the permissions it needs to function.
roles/aiplatform.user,  Vertex AI User,  Grants access to use all resource in Vertex AI
roles/aiplatform.viewer,  Vertex AI Viewer,  Grants access to view all resource in Vertex AI
roles/androidmanagement.user,  Android Management User,  Full access to manage devices.
roles/anthos.serviceAgent,  Anthos Service Agent,  Gives the Anthos service agent access to Cloud Platformresources.
roles/anthosaudit.serviceAgent,  Anthos Audit Service Agent,  Gives the Anthos Audit service agent access toCloud Platform resources.
roles/anthosconfigmanagement.serviceAgent,  Anthos Config Management Service Agent,  Gives the Anthos Config Management service agent access toCloud Platform resources.
roles/anthosidentityservice.serviceAgent,  Anthos Identity Service Agent,  Gives the Anthos Identity service agent access toCloud Platform resources.
roles/anthosservicemesh.serviceAgent,  Anthos Service Mesh Service Agent,  Gives the Anthos Service Mesh service agent access to Cloud Platform resources.
roles/apigateway.admin,  ApiGateway Admin,  Full access to ApiGateway and related resources.
roles/apigateway.serviceAgent,  Cloud API Gateway Service Agent,  Gives Cloud API Gateway service account access to Service Management check and reports as well as impersonation on user-specified service accounts.
roles/apigateway.viewer,  ApiGateway Viewer,  Read-only access to ApiGateway and related resources.
roles/apigateway_management.serviceAgent,  Cloud API Gateway Management Service Agent,  Gives Cloud API Gateway service account access to retrieve aService configuration.
roles/apigee.admin,  Apigee Organization Admin,  Full access to all apigee resource features
roles/apigee.analyticsAgent,  Apigee Analytics Agent,  Curated set of permissions for Apigee Universal Data Collection Agent to manage analytics for an Apigee Organization
roles/apigee.analyticsEditor,  Apigee Analytics Editor,  Analytics editor for an Apigee Organization
roles/apigee.analyticsViewer,  Apigee Analytics Viewer,  Analytics viewer for an Apigee Organization
roles/apigee.apiAdmin,  Apigee API Admin,  Full read/write access to all apigee API resources
roles/apigee.apiReader,  Apigee API Reader,  Reader of apigee resources
roles/apigee.developerAdmin,  Apigee Developer Admin,  Developer admin of apigee resources
roles/apigee.environmentAdmin,  Apigee Environment Admin,  Full read/write access to apigee environment resources, including deployments.
roles/apigee.monetizationAdmin,  Apigee Monetization Admin,  All permissions related to monetization
roles/apigee.portalAdmin,  Apigee Portal Admin,  Portal admin for an Apigee Organization
roles/apigee.readOnlyAdmin,  Apigee Read-only Admin,  Viewer of all apigee resources
roles/apigee.runtimeAgent,  Apigee Runtime Agent,  Curated set of permissions for a runtime agent to access Apigee Organization resources
roles/apigee.serviceAgent,  Apigee Service Agent,  Service agent that grants access to Apigee resources - API Products, Developers, Developer Apps, and App Keys.
roles/apigee.synchronizerManager,  Apigee Synchronizer Manager,  Curated set of permissions for a Synchronizer to manage environments in an Apigee Organization
roles/apigeeconnect.Admin,  Apigee Connect Admin,  Admin of Apigee Connect
roles/apigeeconnect.Agent,  Apigee Connect Agent,  Ability to set up Apigee Connect agent between external clusters and Google.
roles/appdevelopmentexperience.serviceAgent,  App Development Experience Service Agent,  Give the App Development Experience service agent access toCloud Platform resources.
roles/appengine.appAdmin,  App Engine Admin,  Full management of App Engine apps (but not storage).
roles/appengine.appCreator,  App Engine Creator,  Ability to create the App Engine resource for the project.
roles/appengine.appViewer,  App Engine Viewer,  Ability to view App Engine app status.
roles/appengine.codeViewer,  App Engine Code Viewer,  Ability to view App Engine app status and deployed source code.
roles/appengine.deployer,  App Engine Deployer,  Necessary permissions to deploy new code to App Engine, and remove old versions.
roles/appengine.serviceAdmin,  App Engine Service Admin,  Can view and change traffic splits, scaling settings, and delete old versions; can't create new versions.
roles/appengineflex.serviceAgent,  App Engine flexible environment Service Agent,  Can edit and manage App Engine Flexible Environment apps. Includes access to service accounts.
roles/artifactregistry.admin,  Artifact Registry Administrator,  Administrator access to create and manage repositories.
roles/artifactregistry.reader,  Artifact Registry Reader,  Access to read repository items.
roles/artifactregistry.repoAdmin,  Artifact Registry Repository Administrator,  Access to manage artifacts in repositories.
roles/artifactregistry.serviceAgent,  Artifact Registry Service Agent,  Gives the Artifact Registry service account access to managed resources.
roles/artifactregistry.writer,  Artifact Registry Writer,  Access to read and write repository items.
roles/assuredworkloads.admin,  Assured Workloads Administrator,  Grants full access to Assured Workloads resources, CRM resources - project/folder and Organization Policy administration
roles/assuredworkloads.editor,  Assured Workloads Editor,  Grants read, write access to Assured Workloads resources, CRM resources - project/folder and Organization Policy administration
roles/assuredworkloads.reader,  Assured Workloads Reader,  Grants read access to all Assured Workloads resources and CRM resources - project/folder
roles/assuredworkloads.serviceAgent,  Assured Workloads Service Agent,  Gives the Assured Workloads service account access to create KMS keyrings and keys, and to monitor Assured Workloads.
roles/automl.admin,  AutoML Admin,  Full access to all AutoML resources
roles/automl.editor,  AutoML Editor,  Editor of all AutoML resources
roles/automl.predictor,  AutoML Predictor,  Predict using models
roles/automl.serviceAgent,  AutoML Service Agent,  AutoML service agent can act as Cloud Storage admin and export BigQuery tables, which can be backed by Cloud Storage and Cloud Bigtable.
roles/automl.viewer,  AutoML Viewer,  Viewer of all AutoML resources
roles/automlrecommendations.admin,  Recommendations AI Admin,  Full access to all Recommendations AI resources.
roles/automlrecommendations.adminViewer,  Recommendations AI Admin Viewer,  Viewer of all Recommendations AI resources.
roles/automlrecommendations.editor,  Recommendations AI Editor,  Editor of all Recommendations AI resources.
roles/automlrecommendations.serviceAgent,  Recommendations AI Service Agent,  Recommendations AI service uploads catalog feeds from Cloud Storage, reports results to the customer Cloud Storage bucket, writes logs to customer projects, and writes and reads Stackdriver metrics for customer projects.
roles/automlrecommendations.viewer,  Recommendations AI Viewer,  Viewer of all Recommendations AI resources except automlrecommendations.apiKeys. To have all read access use Recommendations AI Admin Viewer role instead.
roles/autoscaling.metricsWriter,  Autoscaling Metrics Writer,  Access to write metrics for autoscaling site
roles/autoscaling.recommendationsReader,  Autoscaling Recommendations Reader,  Access to read recommendations from autoscaling site
roles/autoscaling.sitesAdmin,  Autoscaling Site Admin,  Full access to all autoscaling site features
roles/autoscaling.stateWriter,  Autoscaling State Writer,  Access to write state for autoscaling site
roles/axt.admin,  Access Transparency Admin,  Enable Access Transparency for Organization
roles/baremetalsolution.admin,  Bare Metal Solution Admin,  Administrator of Bare Metal Solution resources
roles/baremetalsolution.editor,  Bare Metal Solution Editor,  Editor of Bare Metal Solution resources
roles/baremetalsolution.instancesadmin,  Bare Metal Solution Instances Admin,  Admin of Bare Metal Solution Instance resources
roles/baremetalsolution.instancesviewer,  Bare Metal Solution Instances Viewer,  Viewer of Bare Metal Solution Instance resources
roles/baremetalsolution.viewer,  Bare Metal Solution Viewer,  Viewer of Bare Metal Solution resources
roles/bigquery.admin,  BigQuery Admin,  Administer all BigQuery resources and data
roles/bigquery.connectionAdmin, BigQuery Connection Admin
roles/bigquery.connectionUser, BigQuery Connection Userroles/bigquery.dataEditor,  BigQuery Data Editor,  Access to edit all the contents of datasets
roles/bigquery.dataOwner,  BigQuery Data Owner,  Full access to datasets and all of their contents
roles/bigquery.dataViewer,  BigQuery Data Viewer,  Access to view datasets and all of their contents
roles/bigquery.filteredDataViewer,  BigQuery Filtered Data Viewer,  Access to view filtered table data defined by a row access policy
roles/bigquery.jobUser,  BigQuery Job User,  Access to run jobs
roles/bigquery.metadataViewer,  BigQuery Metadata Viewer,  Access to view table and dataset metadata
roles/bigquery.readSessionUser,  BigQuery Read Session User,  Access to create and use read sessions
roles/bigquery.resourceAdmin,  BigQuery Resource Admin,  Administer all BigQuery resources.
roles/bigquery.resourceEditor,  BigQuery Resource Editor,  Manage all BigQuery resources, but cannot make purchasing decisions.
roles/bigquery.resourceViewer,  BigQuery Resource Viewer,  View all BigQuery resources but cannot make changes or purchasing decisions.
roles/bigquery.user,  BigQuery User,  When applied to a project, access to run queries, create datasets, read dataset metadata, and list tables. When applied to a dataset, access to read dataset metadata and list tables within the dataset.
roles/bigqueryconnection.serviceAgent,  BigQuery Connection Service Agent,  Gives BigQuery Connection Service access to Cloud SQL instances in user projects.
roles/bigquerydatatransfer.serviceAgent,  BigQuery Data Transfer Service Agent,  'Gives BigQuery Data Transfer Service access to start bigquery jobs in consumer project. '
roles/bigtable.admin,  Bigtable Administrator,  Full access to all Bigtable resources and ability to assign Bigtable IAM roles.
roles/bigtable.reader,  Bigtable Reader,  Read access to data in existing tables; read access to metadata for instances, clusters, and tables, including column families.
roles/bigtable.user,  Bigtable User,  Read and write access to data in existing tables; read access to metadata for instances, clusters, and tables, including column families.
roles/bigtable.viewer,  Bigtable Viewer,  Read access to metadata for instances, clusters, and tables, including column families.
roles/billing.admin,  Billing Account Administrator,  Authorized to see and manage all aspects of billing accounts.
roles/billing.costsManager,  Billing Account Costs Manager,  Can view and export cost information of billing accounts.
roles/billing.creator,  Billing Account Creator,  Creator of billing accounts.
roles/billing.projectManager,  Project Billing Manager,  Can assign a project's billing account or disable its billing.
roles/billing.user,  Billing Account User,  Can associate projects with billing accounts
roles/billing.viewer,  Billing Account Viewer,  Can view information about billing accounts.
roles/binaryauthorization.attestorsAdmin,  Binary Authorization Attestor Admin,  Adminstrator of Binary Authorization Attestors
roles/binaryauthorization.attestorsEditor,  Binary Authorization Attestor Editor,  Editor of Binary Authorization Attestors
roles/binaryauthorization.attestorsVerifier,  Binary Authorization Attestor Image Verifier,  Caller of Binary Authorization Attestors VerifyImageAttested
roles/binaryauthorization.attestorsViewer,  Binary Authorization Attestor Viewer,  Viewer of Binary Authorization Attestors
roles/binaryauthorization.policyAdmin,  Binary Authorization Policy Administrator,  Administrator of Binary Authorization Policy
roles/binaryauthorization.policyEditor,  Binary Authorization Policy Editor,  Editor of Binary Authorization Policy
